Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,StoneArea,TotalSF,BuiltEqualRemod,Pool,TotalBath,TotalRoomsAboveGrade,TotalPorchSF,TotalOverallGrade,ConditionsScore,LotDepth,AreaLivRatio,GLQBsmtArea
1,60,RL,65.0,8450,Pave,None,3,Lvl,Inside,2,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,3,2,PConc,4,3,1,6,706.0,1,0.0,150.0,856.0,GasA,4,Y,SBrkr,856,854,0,1710,1.0,0.0,2,1,3,1,3,8,Typ,0,1,Attchd,2003.0,2,2.0,548.0,3,3,2,0,61,0,0,0,0,None,None,None,0,2,2008,WD,Normal,0.0,2566.0,1,0,3.5,10.5,61,12,3,130.0,6.018518518518518,0.0
2,20,RL,80.0,9600,Pave,None,3,Lvl,FR2,2,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,4,3,4,5,978.0,1,0.0,284.0,1262.0,GasA,4,Y,SBrkr,1262,0,0,1262,0.0,1.0,2,0,3,1,2,6,Typ,1,3,Attchd,1976.0,2,2.0,460.0,3,3,2,298,0,0,0,0,0,None,None,None,0,5,2007,WD,Normal,0.0,2524.0,1,0,2.5,8.0,298,14,1,120.0,5.574912891986063,0.0
3,60,RL,68.0,11250,Pave,None,2,Lvl,Inside,2,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,3,2,PConc,4,3,2,6,486.0,1,0.0,434.0,920.0,GasA,4,Y,SBrkr,920,866,0,1786,1.0,0.0,2,1,3,1,3,6,Typ,1,3,Attchd,2001.0,2,2.0,608.0,3,3,2,0,42,0,0,0,0,None,None,None,0,9,2008,WD,Normal,0.0,2706.0,0,0,3.5,8.5,42,12,3,165.44117647058823,7.362565445026178,0.0
4,70,RL,60.0,9550,Pave,None,2,Lvl,Corner,2,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,2,2,BrkTil,3,4,1,5,216.0,1,0.0,540.0,756.0,GasA,3,Y,SBrkr,961,756,0,1717,1.0,0.0,1,0,3,1,3,7,Typ,1,4,Detchd,1998.0,1,3.0,642.0,3,3,2,0,35,272,0,0,0,None,None,None,0,2,2006,WD,Abnorml,0.0,2473.0,0,0,2.0,8.0,307,12,3,159.16666666666666,5.9575795383655645,0.0
5,60,RL,84.0,14260,Pave,None,2,Lvl,FR2,2,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,3,2,PConc,4,3,3,6,655.0,1,0.0,490.0,1145.0,GasA,4,Y,SBrkr,1145,1053,0,2198,1.0,0.0,2,1,4,1,3,9,Typ,1,3,Attchd,2000.0,2,3.0,836.0,3,3,2,192,84,0,0,0,0,None,None,None,0,12,2008,WD,Normal,0.0,3343.0,1,0,3.5,11.5,276,13,3,169.76190476190476,7.198384654215043,0.0
6,50,RL,85.0,14115,Pave,None,2,Lvl,Inside,2,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,Wood,4,3,1,6,732.0,1,0.0,64.0,796.0,GasA,4,Y,SBrkr,796,566,0,1362,1.0,0.0,1,1,1,1,2,5,Typ,0,1,Attchd,1993.0,1,2.0,480.0,3,3,2,40,30,0,320,0,0,None,MnPrv,Shed,700,10,2009,WD,Normal,0.0,2158.0,0,0,2.5,6.5,390,10,3,166.05882352941177,11.06191222570533,0.0
7,20,RL,75.0,10084,Pave,None,3,Lvl,Inside,2,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,3,2,PConc,5,3,3,6,1369.0,1,0.0,317.0,1686.0,GasA,4,Y,SBrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,3,7,Typ,1,4,Attchd,2004.0,2,2.0,636.0,3,3,2,255,57,0,0,0,0,None,None,None,0,8,2007,WD,Normal,186.0,3380.0,0,0,3.0,9.0,312,13,3,134.45333333333335,4.327896995708154,0.0
8,60,RL,80.0,10382,Pave,None,2,Lvl,Corner,2,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,2,2,CBlock,4,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,4,Y,SBrkr,1107,983,0,2090,1.0,0.0,2,1,3,1,2,7,Typ,2,3,Attchd,1973.0,2,2.0,484.0,3,3,2,235,204,228,0,0,0,None,None,Shed,350,11,2009,WD,Normal,240.0,3197.0,1,0,3.5,9.5,667,13,4,129.775,6.525455688246386,0.0
9,50,RM,51.0,6120,Pave,None,3,Lvl,Inside,2,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,952.0,952.0,GasA,3,Y,FuseF,1022,752,0,1774,0.0,0.0,2,0,2,2,2,8,Min1,2,3,Detchd,1931.0,1,2.0,468.0,2,3,2,90,0,205,0,0,0,None,None,None,0,4,2008,WD,Abnorml,0.0,2726.0,0,0,2.0,10.0,295,12,1,120.0,4.10738255033557,0.0
10,190,RL,50.0,7420,Pave,None,3,Lvl,Corner,2,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3,3,1,6,851.0,1,0.0,140.0,991.0,GasA,4,Y,SBrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,2,5,Typ,2,3,Attchd,1939.0,2,1.0,205.0,4,3,2,0,4,0,0,0,0,None,None,None,0,1,2008,WD,Normal,0.0,2068.0,0,0,2.0,6.0,4,11,0,148.4,5.787831513260531,0.0
