date,description,type
2021-01-01,Uusaasta,"Riigipüha, puhkepäev"
2021-02-24,"Iseseisvuspäev, Eesti Vabariigi aastapäev","Rahvuspüha, puhkepäev"
2021-04-02,Suur reede,"Riigipüha, puhkepäev"
2021-04-04,Ülestõusmispühade 1. püha,"Riigipüha, puhkepäev"
2021-05-01,Kevadpüha,"Riigipüha, puhkepäev"
2021-05-23,Nelipühade 1. püha,"Riigipüha, puhkepäev"
2021-06-23,Võidupüha,"Riigipüha, puhkepäev"
2021-06-24,Jaanipäev,"Riigipüha, puhkepäev"
2021-08-20,Taasiseseisvumispäev,"Riigipüha, puhkepäev"
2021-12-24,Jõululaupäev,"Riigipüha, puhkepäev"
2021-12-25,Esimene jõulupüha,"Riigipüha, puhkepäev"
2021-12-26,Teine jõulupüha,"Riigipüha, puhkepäev"
