month,day,night,total,locale,year
Jan,39.153,40.772,79.925,cabin,2020
Feb,31.93,38.141,70.071,cabin,2020
Mar,27.137,31.569,58.706,cabin,2020
Apr,20.018,23.972,43.99,cabin,2020
May,26.575,28.716,55.291,cabin,2020
Jun,35.855,34.418,70.273,cabin,2020
Jul,82.523,43.98,126.503,cabin,2020
Aug,34.639,49.394,84.033,cabin,2020
Sep,27.581,34.316,61.897,cabin,2020
Oct,34.349,33.809,68.158,cabin,2020
Nov,49.539,41.415,90.954,cabin,2020
Dec,56.796,56.558,113.354,cabin,2020
Yearly,466.095,457.06,923.155,cabin,2020
Jan,68.467,75.949,144.416,cabin,2021
Feb,106.83,116.759,223.589,cabin,2021
Mar,56.428,72.579,129.007,cabin,2021
Apr,61.368,48.827,110.195,cabin,2021
May,26.366,32.124,58.49,cabin,2021
Jun,53.334,56.047,109.381,cabin,2021
Jul,72.419,65.856,138.275,cabin,2021
Aug,46.635,40.264,86.899,cabin,2021
Sep,31.584,32.066,63.65,cabin,2021
Oct,24.004,27.807,51.811,cabin,2021
Nov,55.051,29.248,84.299,cabin,2021
Dec,103.928,78.096,182.024,cabin,2021
Yearly,706.414,675.622,1382.036,cabin,2021
Jan,92.142,105.257,197.399,cabin,2022
Yearly,92.142,105.257,197.399,cabin,2022
Jan,211.679,162.732,374.411,home,2020
Feb,191.309,177.333,368.642,home,2020
Mar,200.175,161.868,362.043,home,2020
Apr,183.016,140.08,323.096,home,2020
May,201.981,173.483,375.464,home,2020
Jun,239.902,160.828,400.73,home,2020
Jul,241.259,161.027,402.286,home,2020
Aug,207.633,164.666,372.299,home,2020
Sep,193.328,141.18,334.508,home,2020
Oct,220.681,174.017,394.698,home,2020
Nov,218.003,207.286,425.289,home,2020
Dec,289.374,176.477,465.851,home,2020
Yearly,2598.34,2000.977,4599.317,home,2020
Jan,237.812,181.225,419.037,home,2021
Feb,303.344,233.616,536.96,home,2021
Mar,259.204,156.371,415.575,home,2021
Apr,183.908,138.43,322.338,home,2021
May,162.149,149.833,311.982,home,2021
Jun,172.354,129.582,301.936,home,2021
Jul,235.156,155.579,390.735,home,2021
Aug,223.607,185.733,409.34,home,2021
Sep,168.697,131.144,299.841,home,2021
Oct,178.358,169.064,347.422,home,2021
Nov,255.831,158.517,414.348,home,2021
Dec,311.961,181.998,493.959,home,2021
Yearly,2692.381,1971.092,4663.473,home,2021
Jan,204.131,177.788,381.919,home,2022
Yearly,204.131,177.788,381.919,home,2022
Jan,250.832,203.504,454.336,total,2020
Feb,223.239,215.474,438.713,total,2020
Mar,227.312,193.437,420.749,total,2020
Apr,203.034,164.052,367.086,total,2020
May,228.556,202.199,430.755,total,2020
Jun,275.757,195.246,471.003,total,2020
Jul,323.782,205.007,528.789,total,2020
Aug,242.272,214.06,456.332,total,2020
Sep,220.909,175.496,396.405,total,2020
Oct,255.03,207.826,462.856,total,2020
Nov,267.542,248.701,516.243,total,2020
Dec,346.17,233.035,579.205,total,2020
Yearly,3064.435,2458.037,5522.472,total,2020
Jan,306.279,257.174,563.453,total,2021
Feb,410.174,350.375,760.549,total,2021
Mar,315.632,228.95,544.582,total,2021
Apr,245.276,187.257,432.533,total,2021
May,188.515,181.957,370.472,total,2021
Jun,225.688,185.629,411.317,total,2021
Jul,307.575,221.435,529.01,total,2021
Aug,270.242,225.997,496.239,total,2021
Sep,200.281,163.21,363.491,total,2021
Oct,202.362,196.871,399.233,total,2021
Nov,310.882,187.765,498.647,total,2021
Dec,415.889,260.094,675.983,total,2021
Yearly,3398.795,2646.714,6045.509,total,2021
Jan,296.273,283.045,579.318,total,2022
Yearly,296.273,283.045,579.318,total,2022
