Väljastaja:;Eesti Energia AS
Periood:;01.01.2021 kuni 31.12.2021
Kuupäev:;25.01.2022

Andmete tüüp:;;Tarbimine;Tarbimine;

Algus;Lõpp;Kogus (kWh);Kogus (kWh);
01.01.2021 00:00;01.01.2021 01:00;0,16;0,86;
01.01.2021 01:00;01.01.2021 02:00;0,12;0,737;
01.01.2021 02:00;01.01.2021 03:00;0,12;1,377;
01.01.2021 03:00;01.01.2021 04:00;0,16;0,17;
01.01.2021 04:00;01.01.2021 05:00;0,12;0,252;
01.01.2021 05:00;01.01.2021 06:00;0,119;0,281;
01.01.2021 06:00;01.01.2021 07:00;0,094;0,189;
01.01.2021 07:00;01.01.2021 08:00;0,091;0,202;
01.01.2021 08:00;01.01.2021 09:00;0,285;0,463;
01.01.2021 09:00;01.01.2021 10:00;0,398;2,008;
01.01.2021 10:00;01.01.2021 11:00;0,119;0,982;
01.01.2021 11:00;01.01.2021 12:00;0,12;0,799;
01.01.2021 12:00;01.01.2021 13:00;0,12;1,852;
01.01.2021 13:00;01.01.2021 14:00;0,161;0,345;
01.01.2021 14:00;01.01.2021 15:00;0,12;0,556;
01.01.2021 15:00;01.01.2021 16:00;0,12;1,075;
01.01.2021 16:00;01.01.2021 17:00;0,119;1,495;
01.01.2021 17:00;01.01.2021 18:00;0,099;1,724;
01.01.2021 18:00;01.01.2021 19:00;0,601;1,108;
01.01.2021 19:00;01.01.2021 20:00;0,09;2,036;
01.01.2021 20:00;01.01.2021 21:00;0,092;4,088;
01.01.2021 21:00;01.01.2021 22:00;0,117;2,654;
01.01.2021 22:00;01.01.2021 23:00;0,122;0,696;
01.01.2021 23:00;02.01.2021 00:00;0,163;0,782;
02.01.2021 00:00;02.01.2021 01:00;0,122;0,655;
02.01.2021 01:00;02.01.2021 02:00;0,122;1,53;
02.01.2021 02:00;02.01.2021 03:00;0,123;0,173;
02.01.2021 03:00;02.01.2021 04:00;0,28;0,122;
02.01.2021 04:00;02.01.2021 05:00;0,436;0,181;
02.01.2021 05:00;02.01.2021 06:00;0,16;0,155;
02.01.2021 06:00;02.01.2021 07:00;0,101;0,114;
02.01.2021 07:00;02.01.2021 08:00;0,101;0,098;
02.01.2021 08:00;02.01.2021 09:00;0,102;0,793;
02.01.2021 09:00;02.01.2021 10:00;0,103;1,059;
02.01.2021 10:00;02.01.2021 11:00;0,111;0,891;
02.01.2021 11:00;02.01.2021 12:00;0,153;1,184;
02.01.2021 12:00;02.01.2021 13:00;0,122;1,093;
02.01.2021 13:00;02.01.2021 14:00;0,595;1,257;
02.01.2021 14:00;02.01.2021 15:00;0,123;0,707;
02.01.2021 15:00;02.01.2021 16:00;0,124;0,409;
02.01.2021 16:00;02.01.2021 17:00;0,164;1,311;
02.01.2021 17:00;02.01.2021 18:00;0,123;0,883;
02.01.2021 18:00;02.01.2021 19:00;0,124;0,393;
02.01.2021 19:00;02.01.2021 20:00;0,123;0,44;
02.01.2021 20:00;02.01.2021 21:00;0,124;0,563;
02.01.2021 21:00;02.01.2021 22:00;0,124;1,044;
02.01.2021 22:00;02.01.2021 23:00;0,374;0,413;
02.01.2021 23:00;03.01.2021 00:00;0,346;0,356;
03.01.2021 00:00;03.01.2021 01:00;0,107;0,339;
03.01.2021 01:00;03.01.2021 02:00;0,11;1,012;
03.01.2021 02:00;03.01.2021 03:00;0,11;0,11;
03.01.2021 03:00;03.01.2021 04:00;0,11;0,125;
03.01.2021 04:00;03.01.2021 05:00;0,144;0,146;
03.01.2021 05:00;03.01.2021 06:00;0,141;0,102;
03.01.2021 06:00;03.01.2021 07:00;0,126;0,128;
